Player,Runs,Mins,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,Scorecard
SPD Smith,71,88,68,9,1,104.41,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
M Labuschagne,71,111,83,7,-,85.54,Australia,v England,Ahmedabad,04 Nov 2023,ODI # 4693
WA Young,70,106,80,7,2,87.5,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
Imam-ul-Haq,70,107,71,10,-,98.59,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
SA Engelbrecht,70,100,82,4,1,85.36,Netherlands,v Sri Lanka,Lucknow,21 Oct 2023,ODI # 4676
CN Ackermann,69,98,73,5,-,94.52,Netherlands,v New Zealand,Hyderabad,09 Oct 2023,ODI # 4663
KS Williamson,69,116,73,8,1,94.52,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
Mohammad Rizwan,68,104,75,8,-,90.66,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
Saud Shakeel,68,84,52,9,1,130.76,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
MD Shanaka,68,86,62,6,3,109.67,Sri Lanka,v South Africa,Delhi,07 Oct 2023,ODI # 4661
TWM Latham,68,114,74,3,2,91.89,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
SA Edwards,68,122,89,6,-,76.4,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
Abdullah Shafique,68,94,69,9,2,98.55,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
BFW de Leede,67,92,68,6,2,98.52,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
Babar Azam,66*,93,63,6,2,104.76,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
Mushfiqur Rahim,66,93,75,6,2,88.0,Bangladesh,v New Zealand,Chennai,13 Oct 2023,ODI # 4668
HC Brook,66,123,61,7,1,108.19,England,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
